"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini","clinical_feature","MDA","Gini","finalMDA","finalGini","finalPos"
"serum_creatinine",0.0297549608704476,0.0673078757355217,0.0416609784169732,26.1696008623426,"serum_creatinine",4.09172684917838,2604.30024207084,0.0409172684917838,26.0430024207084,1
"ejection_fraction",0.0274492639636854,0.0546647205286493,0.0361736985083138,22.5299573423318,"ejection_fraction",3.77699273860594,2279.18376261297,0.0377699273860594,22.7918376261297,2
"age",0.0101814325154646,0.0241383602015958,0.0146110159880343,19.0257234702544,"age",1.55774878550447,1892.15716825601,0.0155774878550447,18.9215716825601,3
"creatinine_phosphokinase",0.00138377272423299,0.00195659325655394,0.00157817515403456,16.5747649479317,"creatinine_phosphokinase",0.089872302221329,1662.33442908412,0.00089872302221329,16.6233442908412,4
"platelets",0.000445595925263162,0.000430871262412653,0.000639231026331913,15.9321921528329,"platelets",-0.0676994725238906,1646.11993510272,-0.000676994725238906,16.4611993510272,5
"serum_sodium",0.00561638723200597,0.0182594033651905,0.00973861836806127,15.1444662016759,"serum_sodium",0.946950814584134,1459.63495655675,0.00946950814584134,14.5963495655675,6
"high_blood_pressure",-0.000297014188958754,-0.0041068180901473,-0.00150387729290127,2.74280530531835,"high_blood_pressure",-0.0925709339665645,287.011824121233,-0.000925709339665645,2.87011824121233,7
"anaemia",0.000322385243866434,-3.75496155041674e-05,0.000310273571186394,2.93445464542149,"anaemia",-0.0618223204194216,282.279866934929,-0.000618223204194216,2.82279866934929,8
"sex",0.00355889961298133,0.00150740811897321,0.00287097010794539,2.83144166433035,"sex",0.21448421281704,279.560531860215,0.0021448421281704,2.79560531860215,9
"diabetes",0.00176618093047448,-0.000531248858538998,0.00106128964478163,2.85101299085915,"diabetes",-0.00779780799654516,279.071819263945,-7.79780799654516e-05,2.79071819263945,10
"smoking",0.00395520152586803,0.000394922057436488,0.00285430491302831,2.62387908952619,"smoking",0.151600847901378,257.866084794406,0.00151600847901378,2.57866084794406,11
